127.0.0.1 - - [30/Sep/2014:07:58:53 -0300] "GET /Psearch/images/1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:58:53 -0300] "GET /Psearch/images/LogoBranco.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:58:53 -0300] "GET /Psearch/images/3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:58:53 -0300] "GET /Psearch/images/ModalIcon.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:58:53 -0300] "GET /Psearch/images/4.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:58:53 -0300] "GET /Psearch/images/6.jpg HTTP/1.1" 404 991
127.0.0.1 - - [30/Sep/2014:07:58:53 -0300] "GET /Psearch/images/2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:58:53 -0300] "GET /Psearch/images/5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:58:55 -0300] "GET /Psearch/css/images/proficao.png HTTP/1.1" 404 1013
127.0.0.1 - - [30/Sep/2014:07:58:55 -0300] "GET /Psearch/css/images/posicao.png HTTP/1.1" 404 1011
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "POST /Psearch/index.jsp HTTP/1.1" 200 2890
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/css/style1.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/css/component3.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/css/component.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/css/inicioCss.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/css/demo.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/css/component2.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/js/modernizr.custom.86080.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/images/ModalIcon.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/images/LogoBranco.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/images/1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/images/2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/images/3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/images/4.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/images/5.jpg HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:07:59:03 -0300] "GET /Psearch/images/6.jpg HTTP/1.1" 404 991
127.0.0.1 - - [30/Sep/2014:07:59:04 -0300] "GET /Psearch/css/images/posicao.png HTTP/1.1" 404 1011
127.0.0.1 - - [30/Sep/2014:07:59:04 -0300] "GET /Psearch/css/images/proficao.png HTTP/1.1" 404 1013
127.0.0.1 - - [30/Sep/2014:07:59:13 -0300] "GET /Psearch/xmlcreate.jsp HTTP/1.1" 302 -
127.0.0.1 - - [30/Sep/2014:07:59:13 -0300] "GET /Psearch/map2.jsp HTTP/1.1" 200 9705
127.0.0.1 - - [30/Sep/2014:08:00:13 -0300] "GET /Psearch/map2.jsp HTTP/1.1" 200 9705
127.0.0.1 - - [30/Sep/2014:08:00:14 -0300] "GET /Psearch/css/component2.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:08:00:14 -0300] "GET /Psearch/_javascript/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:08:00:14 -0300] "GET /Psearch/_css/map.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:08:00:14 -0300] "GET /Psearch/_css/stars.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:08:00:14 -0300] "GET /Psearch/css/estilo.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:08:00:16 -0300] "GET /Psearch/_javascript/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:08:00:16 -0300] "GET /Psearch/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:08:00:16 -0300] "GET /Psearch/_img/proficon.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:08:00:17 -0300] "GET /Psearch/_img/star_off.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Sep/2014:08:00:24 -0300] "GET /Psearch/xmlcreate.jsp HTTP/1.1" 302 -
127.0.0.1 - - [30/Sep/2014:08:00:24 -0300] "GET /Psearch/map2.jsp HTTP/1.1" 200 9705
127.0.0.1 - - [30/Sep/2014:08:01:21 -0300] "POST /Psearch/index.jsp HTTP/1.1" 200 2890
127.0.0.1 - - [30/Sep/2014:08:01:21 -0300] "GET /Psearch/css/style1.css HTTP/1.1" 304 -
